client_id,date,value_usd,segment
9036A,2023-06-28,11.75,B2C
9069A,2023-04-23,11.75,B2C
9077A,2023-06-14,14.21875,B2C
9079A,2023-05-20,10.0,B2C
9088A,2023-07-02,14.6875,B2C
9080A,2023-08-06,11.75,B2C
9077A,2023-06-17,14.21875,B2C
9045A,2023-05-24,11.75,B2C
9088A,2023-07-04,14.6875,B2C
9103A,2023-04-25,25.5,B2B
9120A,2023-07-05,14.21875,B2C
9131A,2023-06-02,7.5,B2C
9137A,2023-04-23,7.5,B2C
9088A,2023-07-05,14.6875,B2C
9113A,2023-06-25,18.0,B2C
9122A,2023-04-23,7.5,B2C
9088A,2023-07-07,14.6875,B2C
9120A,2023-07-08,14.21875,B2C
9137A,2023-04-26,13.75,B2C
9077A,2023-06-21,14.21875,B2C
9155A,2023-05-03,11.75,B2C
9168A,2023-04-15,11.75,B2C
9120A,2023-07-10,14.21875,B2C
9170A,2023-05-04,11.75,B2C
9181A,2023-05-10,11.75,B2C
9120A,2023-07-12,14.21875,B2C
9183A,2023-04-23,13.75,B2C
9168A,2023-04-18,14.6875,B2C
9103A,2023-05-02,25.5,B2B
9077A,2023-06-24,14.21875,B2C
9036A,2023-07-12,13.75,B2C
9186A,2023-08-20,11.75,B2C
9120A,2023-07-15,14.21875,B2C
9192A,2023-07-01,14.6875,B2C
9077A,2023-06-28,14.21875,B2C
9168A,2023-04-22,14.6875,B2C
9186A,2023-08-23,18.0,B2C
9174A,2023-05-18,7.5,B2C
9120A,2023-07-17,14.21875,B2C
9186A,2023-08-24,11.75,B2C
9192A,2023-07-03,14.6875,B2C
9137A,2023-05-05,11.75,B2C
9192A,2023-07-04,14.6875,B2C
9062A,2023-05-12,11.75,B2C
9120A,2023-07-19,14.21875,B2C
9168A,2023-04-25,14.6875,B2C
9187A,2023-06-17,18.0,B2C
9077A,2023-07-01,14.21875,B2C
9103A,2023-05-09,25.5,B2B
9192A,2023-07-06,14.6875,B2C
9079A,2023-06-07,11.75,B2C
9218A,2023-05-19,11.75,B2C
9233A,2023-10-02,11.75,B2C
9120A,2023-07-22,14.21875,B2C
9246A,2023-04-27,10.71875,B2C
9245A,2023-09-12,7.5,B2C
9069A,2023-05-14,11.75,B2C
9077A,2023-07-05,14.21875,B2C
9192A,2023-07-09,15.0,B2C
9247A,2023-06-29,12.75,B2B
9246A,2023-04-28,10.71875,B2C
9192A,2023-07-10,15.0,B2C
9120A,2023-07-24,11.75,B2C
9246A,2023-04-29,10.71875,B2C
9168A,2023-05-01,14.6875,B2C
9246A,2023-04-30,10.71875,B2C
9249A,2023-10-07,16.25,B2C
9241A,2023-04-23,7.5,B2C
9077A,2023-07-08,14.21875,B2C
9246A,2023-05-01,10.71875,B2C
9103A,2023-05-16,25.5,B2B
9192A,2023-07-12,15.0,B2C
9122A,2023-05-14,11.75,B2C
9131A,2023-06-24,11.75,B2C
9246A,2023-05-02,10.71875,B2C
9246A,2023-05-04,10.71875,B2C
9192A,2023-07-16,15.0,B2C
9168A,2023-05-06,14.21875,B2C
9246A,2023-05-05,10.71875,B2C
9077A,2023-07-12,14.21875,B2C
9192A,2023-07-17,15.0,B2C
9289A,2023-07-04,18.0,B2C
9265A,2023-05-16,11.75,B2C
9168A,2023-05-08,14.21875,B2C
9246A,2023-05-07,13.75,B2C
9103A,2023-05-23,25.5,B2B
9192A,2023-07-19,15.0,B2C
9077A,2023-07-15,14.21875,B2C
9246A,2023-05-08,13.75,B2C
9045A,2023-06-22,11.75,B2C
9246A,2023-05-09,13.75,B2C
9280A,2023-07-16,11.75,B2C
9300A,2023-05-02,11.75,B2C
9336A,2023-06-18,7.5,B2C
9269A,2023-06-25,11.75,B2C
9192A,2023-07-23,15.0,B2C
9168A,2023-05-13,14.21875,B2C
9326A,2023-07-26,16.25,B2C
9077A,2023-07-19,14.21875,B2C
9306A,2023-05-09,7.5,B2C
9309A,2023-07-14,11.75,B2C
9321A,2023-09-20,11.75,B2C
9289A,2023-07-11,14.21875,B2C
9265A,2023-05-23,11.75,B2C
9265A,2023-05-23,13.75,B2C
9339A,2023-04-23,11.75,B2C
9192A,2023-07-25,15.0,B2C
9337A,2023-04-28,11.75,B2C
9168A,2023-05-15,14.21875,B2C
9349A,2023-06-25,19.975,B2B
9187A,2023-07-07,18.0,B2C
9353A,2023-11-26,19.55,B2B
9192A,2023-07-26,15.0,B2C
9077A,2023-07-22,14.21875,B2C
9310A,2023-06-30,15.0,B2C
9280A,2023-07-23,16.25,B2C
9289A,2023-07-16,14.21875,B2C
9351A,2023-04-24,11.75,B2C
9326A,2023-08-01,16.25,B2C
9269A,2023-07-02,11.75,B2C
9192A,2023-07-30,15.0,B2C
9077A,2023-07-26,14.21875,B2C
9168A,2023-05-20,14.21875,B2C
9353A,2023-11-30,19.55,B2B
9306A,2023-05-16,12.25,B2C
9192A,2023-07-31,15.0,B2C
9289A,2023-07-18,14.21875,B2C
9349A,2023-07-01,27.625,B2B
9168A,2023-05-22,14.21875,B2C
9353A,2023-12-02,19.55,B2B
9367A,2023-06-14,19.55,B2B
9351A,2023-04-28,18.0,B2C
9192A,2023-08-02,15.0,B2C
9077A,2023-07-29,14.21875,B2C
9187A,2023-07-15,16.25,B2C
9103A,2023-06-06,25.5,B2B
9280A,2023-07-30,16.25,B2C
9122A,2023-06-04,13.75,B2C
9310A,2023-07-07,15.0,B2C
9352A,2023-04-27,7.5,B2C
9394A,2023-10-04,14.21875,B2C
9394A,2023-10-04,14.21875,B2C
9192A,2023-08-06,15.0,B2C
9168A,2023-05-27,14.21875,B2C
9077A,2023-08-02,14.21875,B2C
9353A,2023-12-07,19.55,B2B
9306A,2023-05-23,12.25,B2C
9377A,2023-04-25,18.0,B2C
9289A,2023-07-24,14.21875,B2C
9326A,2023-08-09,16.25,B2C
9192A,2023-08-07,15.0,B2C
9265A,2023-06-06,15.0,B2C
9400A,2023-05-02,11.5,B2C
9367A,2023-06-20,19.55,B2B
9398A,2023-06-06,17.849999999999998,B2B
9370A,2023-05-10,14.21875,B2C
9339A,2023-05-08,14.6875,B2C
9168A,2023-05-29,14.21875,B2C
9349A,2023-07-09,27.625,B2B
9414A,2023-05-14,7.5,B2C
9300A,2023-05-19,11.75,B2C
9077A,2023-08-05,14.21875,B2C
9103A,2023-06-13,25.5,B2B
9406A,2023-08-06,11.75,B2C
9192A,2023-08-09,15.0,B2C
9326A,2023-08-12,7.5,B2C
9394A,2023-10-10,14.21875,B2C
9069A,2023-06-14,10.6875,B2C
9062A,2023-06-18,11.75,B2C
9310A,2023-07-14,15.0,B2C
9407A,2023-05-08,11.75,B2C
9280A,2023-08-06,16.25,B2C
9397A,2023-08-03,18.0,B2C
9174A,2023-06-25,13.75,B2C
9367A,2023-06-25,19.55,B2B
9398A,2023-06-11,17.849999999999998,B2B
9137A,2023-06-14,13.75,B2C
9079A,2023-07-14,7.5,B2C
9192A,2023-08-13,15.0,B2C
9353A,2023-12-14,19.55,B2B
9306A,2023-05-30,12.25,B2C
9187A,2023-07-26,16.25,B2C
9280A,2023-08-09,16.25,B2C
9289A,2023-07-31,14.21875,B2C
9377A,2023-05-02,16.25,B2C
9420A,2023-07-30,2.5,B2C
9447A,2023-04-23,11.25,B2C
9265A,2023-06-13,15.0,B2C
9414A,2023-05-20,7.5,B2C
9450A,2023-10-09,8.75,B2C
9423A,2023-09-17,11.75,B2C
9192A,2023-08-14,14.5,B2C
9394A,2023-10-18,14.21875,B2C
9428A,2023-07-08,7.5,B2C
9463A,2023-10-10,2.5,B2C
9326A,2023-08-22,16.25,B2C
9367A,2023-07-02,19.55,B2B
9370A,2023-05-22,14.21875,B2C
9353A,2023-12-21,19.55,B2B
9289A,2023-08-07,14.21875,B2C
9192A,2023-08-20,14.5,B2C
9306A,2023-06-06,12.25,B2C
9394A,2023-10-21,14.21875,B2C
