client_id,date,value_usd,segment
9091A,2016-03-05,15.0,B2C
9085A,2016-03-07,7.5,B2C
9091A,2016-03-07,15.0,B2C
9105A,2016-03-09,16.25,B2C
9145A,2016-03-09,11.75,B2C
9169A,2016-03-12,11.75,B2C
9057A,2016-03-13,11.75,B2C
9170A,2016-03-13,11.75,B2C
9183A,2016-03-15,13.75,B2C
9105A,2016-03-16,16.25,B2C
9118A,2016-03-16,11.75,B2C
9169A,2016-03-22,11.75,B2C
9105A,2016-03-23,16.25,B2C
9118A,2016-03-23,14.21875,B2C
9230A,2016-03-25,11.75,B2C
9238A,2016-03-25,10.6875,B2B
9228A,2016-03-26,11.75,B2B
9057A,2016-03-27,11.75,B2C
9238A,2016-03-28,10.6875,B2B
9257A,2016-03-28,7.5,B2C
9259A,2016-03-28,11.75,B2C
9226A,2016-03-29,11.75,B2C
9105A,2016-03-30,16.25,B2C
9118A,2016-03-30,14.21875,B2C
9236A,2016-03-30,18.0,B2C
9238A,2016-04-02,10.6875,B2B
9267A,2016-04-02,7.5,B2C
9238A,2016-04-04,10.6875,B2B
9105A,2016-04-06,16.25,B2C
9295A,2016-04-06,16.25,B2C
9118A,2016-04-06,14.21875,B2C
9280A,2016-04-06,11.75,B2C
9299A,2016-04-08,58.75,B2C
9230A,2016-04-08,11.75,B2C
9238A,2016-04-09,11.5,B2B
9321A,2016-04-10,11.75,B2C
9057A,2016-04-10,11.5,B2C
9238A,2016-04-11,11.5,B2B
9259A,2016-04-12,14.6875,B2C
9118A,2016-04-13,14.21875,B2C
9236A,2016-04-13,13.75,B2C
9295A,2016-04-13,16.25,B2C
9280A,2016-04-13,16.25,B2C
9357A,2016-04-13,11.75,B2C
9238A,2016-04-16,11.5,B2B
9375A,2016-04-18,11.75,B2C
9238A,2016-04-18,11.5,B2B
9365A,2016-04-19,11.5,B2B
9057A,2016-04-19,11.5,B2C
9118A,2016-04-20,14.21875,B2C
9280A,2016-04-20,16.25,B2C
