cust_num,date,inc_amt_usd
x2bgX9wBgAhtYMF7IiDnfOEHbrLWgk4N3U5Ci/k+oAM=,2023-01-25,99.28
5wwmcu89VkkcnxxxsYcZtYG61wsZ9gw3uP5gZgpbBXU=,2023-01-25,25.65
kgf145PEaK1RxRNqRv3pRjSqdtOqOEeCa0pH11PEBeI=,2023-01-25,100.07
Ms3fCccyQ2Kss7cDYIRmM/2vsEm3sq+isLliDbNcOp0=,2023-01-25,116.99
BJSada4MwsKKmn1b3ECz+b9ko/cJ+ZhbZ9sLM5J6lvA=,2023-01-25,12.25
t5jfrLLaH1dSipvTNgscfP2uP/IMxzuJ9jBj3QPXdas=,2023-01-25,37.26
ntsplKlEE2Y/nit4JOcs1mWbHznkCkaB+OBmZC7qD1o=,2023-01-25,277.99
w8AQajTYXauGpetMOX1Ra38/PRM2j86W5ngPlnJwpFE=,2023-01-25,22.23
I40fcnrjneVmxuJPgBDZfg0ywREduXJ5O1FYkFQ62Qw=,2023-01-25,152.79
RfNKy5ZHlp9dcRClEyZmkCxElk3bU2eHOANs46V7VLY=,2023-01-25,38.38
YjPPX0pbuSJu13PuhScJ6YoFiXPpP+1NfUP5X9vh29c=,2023-01-25,90.94
RU4zo6p/4EUX840OqDw4fcG1n0epc3z/uJqCQ+wEYxk=,2023-01-25,49.31
srIgAAhGKoWEdW14BQusnszG1m1UvVAyLnVRzzxyGco=,2023-01-25,99.74
hgwTyXfwEQP4uxCtl4tgx5FCT84q3LrQ1IVddzDTZP4=,2023-01-25,104.2
E0RtnTnjE8COKbAmoLsD0nH1xzLDFnlA2+6nS3UwSAs=,2023-01-25,290.37
CjG+cM0VS3ifUumSqYFt+474x2EArsNltvZUnqlJr9A=,2023-01-25,70.34
F6EZNjdBdTclskERVaxiIkYjDepZRGTD/8E4HkyDXIo=,2023-01-25,477.54
+FhAcwm9tVj22AA56Tyd4Foy+pQt7i9vIIm3sizRk4Q=,2023-01-25,87.22
2KIO9qpWsQWd2B0mJJhwm8iztt31lPSM4IHy4GXH0IA=,2023-01-25,44.32
BpTfnAhkbzHpjdCLEZYqpdBIoDrKAtv4CV5QePK9Ias=,2023-01-25,281.24
/FKPmuEc1fEgghfm2YceGlS17bE63tiJXu9mhFYPe7M=,2023-01-25,59.59
fONcbZLoeXvbHuqXGhVLevXiaH2SpmcrTF7v2DezoSA=,2023-01-25,28.67
pcGZk+fFF96O77UctMGLgo+Vy6p4ylE50DIOXUV6Wl4=,2023-01-25,303.37
NOYsNf4d7fXjOHr2dnzt8KM7dQ7BKLxQHFPs67H7lmw=,2023-01-25,79.43
Vjb3np1KmUSg7E+o1cZsnhea693TsaLuTG3Xf7OYSvI=,2023-01-25,108.29
0hmqUwtnsoRbfr0YqrNbHsMHO1OkfucY22vReo0XJdI=,2023-01-25,84.89
ZeZ018Yj3TyOv14p4+mWZ+bhcXdw+hgZXaf66NPePWY=,2023-01-25,125.07
YMci36Cq943/g14biqGtFBIyOfn/adJI+bEERY4aThs=,2023-01-25,52.03
KcEi3sLNw3fRvaWLyW5/vuFcQ/HLnLQ5Bm0RAf7rQw8=,2023-01-25,237.24
zPWGpy5CNCgcR//94Vof7/nXODJ3mBpkcxRVBTBL6JQ=,2023-01-25,49.69
3zwkgq0ItGFQ9oR1wteVTC4cLefuMM/cD8mXrcpfFek=,2023-01-25,154.83
x6euXbZPH4dfq7UzwCJLIYPuYDL25RqMIMZHcglgGnQ=,2023-01-25,95.85
kUKLvCxs7/SWyq0kqUvjcd1/IRbuXigjZUUGG166/HM=,2023-01-25,123.93
73F1/QsLwyVVI9GQPYqwhOalK+HCfromV7JeRyoBIcs=,2023-01-25,44.95
PAF6mVNIgkaTShp7n3HJ2DucJzniPHEztX5NsfI2rQo=,2023-01-25,57.2
45f8Nh93KmOpYDvgkrp9ArXCp/7grS2e7LNfoIRe7hQ=,2023-01-25,104.56
CrJt6Gi1WyyDEsMnOJbBmwX8Z/KnTW9zWIUnTf4kZqI=,2023-01-25,76.32
4qrlbva6UGChXJ/+YLcFAXHBk9RcAjxKKTUj0ujGA6o=,2023-01-25,4.62
R6lJHzogzzYE/yFZ2wi8sB6KIOPjhH9ATOmlU+FUiPg=,2023-01-25,25.77
cuWng7s6/RQxUeGfUiDCKZ2WSEZblYRvbJF1JHFAK+k=,2023-10-08,48.85
0F7YXwSIe1CtRZh/EuEPY5++x5QTWvRp0YXv4Gr4Fg0=,2023-10-08,215.83
kATzhkxebsljqIaaDUZcF7itGZo3BZUN8eidw9ho9Jk=,2023-10-08,24.66
P2dW/n6LbEVgM0UaaVYgZEpO86tRXypXFVsui3TxYb4=,2023-10-08,384.97
Yx7eFwngtkvoIRpIbkgEjHdgf/eXmKEISWMJn8MlHRA=,2023-10-08,227.75
uTAwnSMIM3ht0Ke+VQzAv9kjvYGIoTPov2vgE5B7eF4=,2023-10-08,38.23
