activity_date,user_id,inc_amt
2019-10-07,UU01189990,6.75
2019-10-07,UU05670130,5.9
2019-10-07,UU01453776,176.14
2019-10-07,UU04615572,69.65
2019-10-07,UU16129814,20.67
2019-10-07,UU08511956,260.74
2019-10-07,UU04161526,12.56
2019-10-07,UU00180266,36.78
2019-10-07,UU15929094,5.97
2019-10-07,UU00403553,81.81
2019-10-07,UU10073351,8.42
2019-10-07,UU00894856,5.74
2019-10-07,UU11576536,123.79
2019-10-07,UU01602436,8.98
2019-10-07,UU03762500,10
2020-06-19,UU07600714,7.9
2020-06-19,UU03294017,46.53
2020-06-19,UU13330077,66.43
2020-06-19,UU02200831,17.81
2020-06-19,UU13651825,29.71
2020-06-19,UU10339485,26.4
2020-06-19,UU04560467,61.44
2020-06-19,UU05365774,11.12
2020-06-19,UU05453114,18.8
2020-06-19,UU08828585,16.82
2021-03-02,UU04908829,16.45
2021-03-02,UU05455300,204.56
2021-03-02,UU02334752,8.19
2021-03-02,UU07802875,6.54
2021-03-02,UU03260210,150.34
2021-03-02,UU00121311,24.03
2021-03-02,UU05861442,58.21
2021-03-02,UU03989828,6.93
2021-03-02,UU08632024,13.84
2021-03-02,UU12006566,31.09
2021-03-02,UU01918540,20.32
2021-03-02,UU01477773,47.36
2021-03-02,UU11258945,26.14
2021-03-02,UU09919075,19.26
2021-03-02,UU06372066,245.6
2021-03-02,UU10446604,240.29
2021-03-02,UU10570063,13.46
2021-03-02,UU15929094,52.35
2021-03-02,UU11359851,115.23
2021-03-02,UU14177486,173.92
2021-11-13,UU02090621,77.28
2021-11-13,UU08492887,8.42
2021-11-13,UU00418981,54.75
2021-11-13,UU15872944,21.42
2021-11-13,UU14252098,12.51
2022-07-27,UU04772545,18.61
2022-07-27,UU01333352,7.38
2022-07-27,UU04208987,31.28
2022-07-27,UU05324719,82.64
2022-07-27,UU05453114,23.41
2022-07-27,UU00402647,24.26
2022-07-27,UU12229548,18.02
2022-07-27,UU12218925,20.27
2022-07-27,UU05862853,29.79
2022-07-27,UU03729479,18.24
2022-07-27,UU03401698,210.32
2023-04-09,UU16136156,11.55
2023-04-09,UU05096703,35.95
2023-04-09,UU01655339,105.34
2023-04-09,UU05110194,42.4
2023-04-09,UU07769037,65.36
2023-04-09,UU07652903,220.64
2023-04-09,UU12849019,47.9
2023-12-21,UU10333683,31.74
2023-12-21,UU05098073,135.12
2023-12-21,UU13938440,10.02
2023-12-21,UU13109472,19.36
2023-12-21,UU07469695,31.02
2023-12-21,UU14533011,116.21
2023-12-21,UU14934421,18.24
2023-12-21,UU16542881,29.18
2019-10-08,UU06633642,133.58
2019-10-08,UU02987973,36.48
2019-10-08,UU06609814,125.92
2020-06-20,UU11630227,23.63
2020-06-20,UU14613323,25.09
2020-06-20,UU16692699,9.94
2020-06-20,UU15427357,72.8
2020-06-20,UU07802875,22.66
2020-06-20,UU03823991,19.68
2020-06-20,UU09067163,19.49
2020-06-20,UU15367551,20.42
2020-06-20,UU01378202,173.31
2021-03-03,UU11436393,28.96
2021-03-03,UU07584338,186.06
2021-03-03,UU01009946,25.74
2021-03-03,UU00475676,8.37
2021-03-03,UU12917035,116.16
2021-03-03,UU06985638,42.08
2021-03-03,UU08524217,11.9
2021-03-03,UU13363972,30.88
2021-03-03,UU11104393,23.39
2021-03-03,UU03141986,255.09
2021-03-03,UU12382394,14.69
2021-03-03,UU12987096,412
2021-11-14,UU02950817,19.52
2021-11-14,UU11311287,6.58
2021-11-14,UU05956692,35.68
2021-11-14,UU06026451,51.71
2021-11-14,UU09638647,33.06
2021-11-14,UU11224537,81.12
2022-07-28,UU05216556,48.19
2022-07-28,UU15532500,17.81
2022-07-28,UU03541177,56.69
2022-07-28,UU14252098,27.6
2022-07-28,UU15017175,4.77
2022-07-28,UU14412339,88.86
2022-07-28,UU16256175,5.3
2022-07-28,UU10549077,13.5
2022-07-28,UU04233705,61.94
2023-04-10,UU15058252,23.01
2023-04-10,UU04772545,8.11
2023-04-10,UU16407627,19.66
2023-04-10,UU04802163,73.63
2023-04-10,UU07227108,185.44
2023-04-10,UU10267211,17.81
2023-04-10,UU08197688,14.29
2023-12-22,UU04482837,173.39
2023-12-22,UU14999526,124.45
2023-12-22,UU15434341,204.24
2023-12-22,UU09128629,77.71
2019-10-09,UU06171984,6.03
2019-10-09,UU07153088,6.3
2019-10-09,UU15312879,13.17
2019-10-09,UU04256010,12.05
2019-10-09,UU08443160,133.84
2019-10-09,UU12382394,32.5
2019-10-09,UU05126954,101.55
2019-10-09,UU13879008,6.88
2019-10-09,UU10391256,20.35
2019-10-09,UU16294232,6.4
2019-10-09,UU00900155,201.73
2019-10-09,UU04834444,10.61
2019-10-09,UU02734906,261.86
2019-10-09,UU12576512,42.54
2019-10-09,UU13916593,21.66
2020-06-21,UU16611083,22.42
2020-06-21,UU15833444,247.12
2020-06-21,UU01201337,59.07
2020-06-21,UU07667307,7.33
2020-06-21,UU16488819,55.2
2021-03-04,UU12641962,30.88
2021-03-04,UU11917120,15.22
2021-03-04,UU14724773,8.45
2021-03-04,UU07155740,126.38
2021-03-04,UU04411793,16.82
2021-03-04,UU02967327,24.21
2021-03-04,UU16763808,8.62
2021-03-04,UU13991514,9.23
2021-03-04,UU08482348,5.68
2021-03-04,UU02544433,143.2
2021-03-04,UU10411710,8.29
2021-03-04,UU08683426,27.65
2021-03-04,UU04115002,30.1
2021-03-04,UU15299337,19.42
2021-03-04,UU15031150,11.33
2021-11-15,UU03435817,59.2
2021-11-15,UU04991204,23.6
2021-11-15,UU05760957,60.11
2021-11-15,UU01721414,35.26
2021-11-15,UU05628225,16.1
2021-11-15,UU11779666,7.89
2021-11-15,UU16114461,8.1
2021-11-15,UU16707385,98.51
2021-11-15,UU08948037,978.14
2021-11-15,UU00197304,41.1
2022-07-29,UU08524770,142.51
2022-07-29,UU02164455,9.87
2022-07-29,UU03227075,6.1
2022-07-29,UU15332773,10.88
2022-07-29,UU04338153,31.5
2022-07-29,UU10125686,22.06
2022-07-29,UU08323320,32.46
2022-07-29,UU09294456,36.51
2022-07-29,UU14829223,37.33
2022-07-29,UU04268214,22.26
2022-07-29,UU14750855,101.38
2023-04-11,UU13049048,50.69
2023-04-11,UU04119041,29.87
2023-04-11,UU05206342,24.85
2023-04-11,UU13267694,224.53
2023-04-11,UU12142253,138.99
2023-04-11,UU04275893,210.32
2023-04-11,UU07647737,28.72
2023-04-11,UU14252098,23.62
2023-12-23,UU15997983,83.04
2023-12-23,UU00639516,174.62
2023-12-23,UU05878949,221.44
2023-12-23,UU08589919,11.2
2023-12-23,UU10038132,26.99
2023-12-23,UU16432359,185.44
2023-12-23,UU07631339,43.54
2023-12-23,UU11114929,34.4
2019-10-10,UU12430216,132.06
2019-10-10,UU11588739,8.59
2019-10-10,UU10981040,4.93
2019-10-10,UU06017771,8.3
2019-10-10,UU11595740,10.19
2019-10-10,UU16452542,6.35
2019-10-10,UU01453776,219.28
2019-10-10,UU02718122,134.35
2019-10-10,UU10189156,17.95
2019-10-10,UU05103190,247.58
2019-10-10,UU03858560,13.57
2019-10-10,UU11140522,10.9
2020-06-22,UU15950989,170.83
2020-06-22,UU15797380,54.42
2020-06-22,UU05670130,13.95
2021-03-05,UU13193719,108.78
2021-03-05,UU15947598,44.5
2021-03-05,UU08987016,11.82
2021-03-05,UU09146995,14
2021-03-05,UU09245958,26.32
2021-03-05,UU08799052,52.05
2021-03-05,UU08077689,4.22
2021-03-05,UU12027448,28.72
2021-03-05,UU02826132,277.6
2021-03-05,UU08730658,18.42
2021-03-05,UU05253305,33.23
2021-03-05,UU15870837,217.01
2021-11-16,UU13504575,16.1
2021-11-16,UU14918292,50.13
2021-11-16,UU08092503,22.94
2021-11-16,UU01646404,19.36
2021-11-16,UU04442414,12.67
2021-11-16,UU02152455,49.84
2021-11-16,UU09888897,12.59
2021-11-16,UU12647149,27.18
2021-11-16,UU05861442,75.07
2021-11-16,UU13523477,18.9
2021-11-16,UU05403091,9.25
2021-11-16,UU05470231,81.12
2022-07-30,UU05793016,9.17
2022-07-30,UU03614447,46.43
2022-07-30,UU04061780,4.94
2022-07-30,UU06866978,30.98
2022-07-30,UU15872944,33.22
2022-07-30,UU07915479,23.66
2022-07-30,UU02227921,203.57
2022-07-30,UU15806122,40.45
2022-07-30,UU02493214,17.73
2023-04-12,UU12074323,49.44
2023-04-12,UU15467835,350.96
2023-04-12,UU05105496,185.44
2023-04-12,UU04309584,19.17
2023-04-12,UU08216179,50.98
2023-04-12,UU08990483,31.57
2023-04-12,UU13525372,271.84
2023-04-12,UU00040390,97.1
2023-04-12,UU10072942,20.58
2023-12-24,UU08960749,17.76
2023-12-24,UU12993135,17.76
2023-12-24,UU07194342,20.16
2023-12-24,UU15765983,49.02
2023-12-24,UU09511523,54.4
2023-12-24,UU14379727,22.93
2019-10-11,UU09948711,14.82
2019-10-11,UU13001273,67.42
2019-10-11,UU16129814,48.5
2019-10-11,UU05184650,56.34
2019-10-11,UU01046666,8.75
2019-10-11,UU12575084,30.29
2019-10-11,UU09487022,12.85
2019-10-11,UU13191283,58.38
2019-10-11,UU03108068,480
2019-10-11,UU04348854,10.11
2019-10-11,UU03246304,22.38
2019-10-11,UU11257696,21.58
2019-10-11,UU14819984,12.3
2019-10-11,UU10603250,18.48
2019-10-11,UU05115950,39.31
2019-10-11,UU07704163,24.93
2020-06-23,UU14349599,27.94
2020-06-23,UU03978364,19.07
2020-06-23,UU08713118,57.9
2020-06-23,UU07968959,30.91
2020-06-23,UU03992661,26.69
2020-06-23,UU06379327,180.02
2020-06-23,UU11291553,45.38
2020-06-23,UU15997983,36
2021-03-06,UU14257944,22.94
2021-03-06,UU02143959,41.38
2021-03-06,UU15686286,9.86
2021-03-06,UU02665424,20.22
2021-03-06,UU00828131,20.38
2021-03-06,UU11701753,233.84
2021-03-06,UU08746339,12.67
2021-03-06,UU15393282,18.38
2021-03-06,UU01258882,10.06
2021-03-06,UU08382916,8.8
2021-03-06,UU11926914,9.52
2021-11-17,UU03240055,8.53
2021-11-17,UU09706619,229.04
2021-11-17,UU01876905,30.85
2021-11-17,UU00428496,8.56
2021-11-17,UU00344573,21.07
2022-07-31,UU05167448,45.12
2022-07-31,UU03512524,55.26
2022-07-31,UU00321810,3.6
2022-07-31,UU04951277,150.4
2023-04-13,UU06385358,53.6
2023-04-13,UU11634325,8.34
2023-04-13,UU02689561,31.09
2023-04-13,UU09936714,44.14
2023-04-13,UU13504489,51.44
2023-04-13,UU06522463,124.24
2023-04-13,UU15467835,203.44
2023-04-13,UU04654081,84.56
2023-04-13,UU16617139,19.36
2023-12-25,UU14318219,221.44
2023-12-25,UU09517915,90.69
2023-12-25,UU13135293,28.62
2019-10-12,UU14873635,28.03
2019-10-12,UU00712832,106.46
2019-10-12,UU16529266,43.9
2019-10-12,UU00887771,73.63
2019-10-12,UU14720777,93.34
2019-10-12,UU08758536,253.3
2019-10-12,UU06242250,8.11
2019-10-12,UU16012678,16.98
2019-10-12,UU13359751,5.65
2019-10-12,UU05665174,107.9
2019-10-12,UU14024840,36.18
2019-10-12,UU07567716,248.61
2019-10-12,UU09921346,8.18
2019-10-12,UU04772545,22.27
2019-10-12,UU08130129,54.27
2020-06-24,UU02627791,8.48
2020-06-24,UU06878432,13.1
2020-06-24,UU12251343,28.5
2020-06-24,UU08492887,10.67
2021-03-07,UU15699896,41.1
2021-03-07,UU05685332,22.1
2021-03-07,UU06932004,329.63
2021-03-07,UU02063067,98.4
2021-03-07,UU11654942,143.2
2021-03-07,UU15580274,156.9
2021-03-07,UU14141718,4.82
2021-03-07,UU02490880,129.74
2021-03-07,UU14033112,98.4
2021-03-07,UU10483298,280
2021-03-07,UU09262398,33.22
2021-11-18,UU05030117,19.41
2021-11-18,UU06760088,26.46
2021-11-18,UU10174877,75.52
2021-11-18,UU06056505,23.79
2021-11-18,UU08045858,9.25
2021-11-18,UU01901074,88.86
2021-11-18,UU16734606,12.14
2021-11-18,UU03217175,176.08
2021-11-18,UU13723706,40.54
2021-11-18,UU12445325,3.92
2021-11-18,UU13988482,6.16
2021-11-18,UU15197182,12.67
