date,client_id,value_usd,client_type
2021-12-24 21:04:00.000000 UTC,1wVgXgvNUeH8op1f+54ayUPZ6Hlue0Wr4kr1/wgcS1I=,31.59,Pro
2021-10-24 21:06:00.000000 UTC,1wVgXgvNUeH8op1f+54ayUPZ6Hlue0Wr4kr1/wgcS1I=,170.8,Business
2021-09-29 15:14:00.000000 UTC,jVmvgElQpFFeU+Xk+xBL2VAruEbrKzFfjDCyO0/WofA=,33.28,Pro
2021-08-23 17:45:00.000000 UTC,xreNJUGzsbFyO3M8YtJ7VNB+QD8/3C+j5MDY0eDiygQ=,6.54,Pro
2021-06-26 15:15:00.000000 UTC,wFTJmObkgnHBEeuhwHF8Odlb52V5kyQUZ0mkI7UXBiM=,11.62,Pro
2021-06-13 11:02:00.000000 UTC,sguIpAxz70di22J85pu57T2md+MS2pxFUdFtZhEB2pQ=,7.18,Pro
2021-05-10 14:21:00.000000 UTC,snV0H61SMHObLlTSv+9lzXAYyQEYOPndsUsXHNV1890=,33.21,Pro
2022-01-23 20:32:00.000000 UTC,FhndB6zjUfn9B1B3B+fbJ6HFggUWtsaMIXWq995OyOc=,76.9,Pro
2022-01-20 19:53:00.000000 UTC,SdLxB0THaKSiQcm0//9ABfEv/TZjH8JEnXheY+3oltU=,73.09,Pro
2022-01-20 12:41:00.000000 UTC,JQGPk1iKddOMuCoa0sb6D9oporlul1jv/3r4PdF6m4c=,79.0,Pro
2022-01-15 05:43:00.000000 UTC,9AbqO9gdK562GFiUcp7s5whGUwzBq9gHBmjFNXXvshU=,78.99,Pro
2022-01-15 04:00:00.000000 UTC,CztQHX7EvDgq6s0K4B3wTQtVQaIZzkPpt4zTkCl1OHo=,78.95,Pro
2022-01-05 20:40:00.000000 UTC,IH7as4TY7QZiCJbYKv9FmeSxRDdzqyPnXSBue7lzCxM=,76.17,Pro
2021-12-29 18:57:00.000000 UTC,kBLj+x4Ico4UmYUU0HTRycbSZjPnXz3AFmruqRI44cQ=,78.99,Pro
2021-12-21 04:16:00.000000 UTC,BOAdm3VAEI4gtEfLbC3gCd9RlAGJKJku0X/Nk0w1LEE=,78.91,Pro
2021-12-17 21:55:00.000000 UTC,uLVvW7t6cQALjvxXXzRlvIVSszrfh7f256dk9DBaNnc=,79.0,Pro
2021-12-14 05:03:00.000000 UTC,sUgFN05qpDJLUd2oDHZyQV4Ems7QXlohLRKKLvvXAeA=,79.0,Pro
2021-12-07 23:52:00.000000 UTC,u+6zr24hngbZWnkZ50QMgHJh1ZJz1NrHM0D26BN5+hM=,78.98,Pro
2021-12-07 19:04:00.000000 UTC,5MaQTsx1FJHZoGyK+xkkK/uqwwd5OLCne7wmwdG3P40=,78.21,Pro
2021-12-03 18:14:00.000000 UTC,EpHLqmuutfbA3w8O249bSlUBlh7v5/E0zqkXjyH/5ME=,72.78,Pro
2021-11-25 22:37:00.000000 UTC,x6GZ+/hdmdQcOlxpYti6hfrHiwZwwgSl5EpXoQAavH4=,70.54,Pro
2021-11-25 07:42:00.000000 UTC,SBOWFuKqQnAGxXkc1Lx5iijE7+UTqlVVP7q60pjOSJY=,79.0,Pro
2021-11-24 09:05:00.000000 UTC,G/uQ5LyfTEJI6aJcTK8t5hVY3TMfXs4iJ1fAgDnqO14=,78.93,Pro
2021-11-17 23:06:00.000000 UTC,qnr9Eon4gGySWA2WDyF5OX+cDMLE9atdrvJKDJqW/Yg=,69.47,Pro
2021-11-13 04:44:00.000000 UTC,aJyZfhO7d/6GWcH6UeaZIVBBoeMS4Jflbq55hVsSUWY=,79.0,Pro
2021-11-10 16:27:00.000000 UTC,rDsyEVpluG5t2cjRVHG1McY5U8xSYeadIYR0DgmmurI=,79.0,Pro
2021-11-06 21:10:00.000000 UTC,ByidhLeuBsOYK+GYjuvZ/CkZ4TX/XDWm41F2ej1upbE=,78.99,Pro
2021-11-11 18:49:00.000000 UTC,/m6+oyam7iJZgFkh8aoKdSFfv7pIwIDRs+dx4kvR4WE=,79.0,Pro
2021-10-26 15:51:00.000000 UTC,5/nIZS4PNLpxjA6GQPNpkvwZCraMS2eFzyACgcuwILs=,78.99,Pro
2021-10-23 11:29:00.000000 UTC,3VijepwMUl5cms9mJALlbfZ6T2LcXqgfW1BAu+x+oN4=,76.66,Pro
2021-10-17 15:59:00.000000 UTC,0djfzkU9pZH5T9UkZ9gZfsuHMN0idG0N+VFA6pwyzBk=,70.58,Pro
2021-10-15 07:10:00.000000 UTC,VOoJ7nQXy60GWKiAIWyB9UFNF7vbjgCsL5aziQvQdh0=,65.12,Pro
2021-10-11 14:38:00.000000 UTC,RlJkmpArn/uGBjv8u8mhTUfGOvKLPgPfGouR9K1IzDQ=,71.31,Pro
2021-10-11 10:22:00.000000 UTC,42ZX7Ekkxnry7nTnJAuh3LW3GERQ9oBTWtiQChY765U=,79.0,Pro
2021-10-10 19:44:00.000000 UTC,m1czV/cDlcVH5PPgu+3fMf/pH1zR+OlLEDBuqESj0Vg=,61.44,Pro
2021-10-06 19:39:00.000000 UTC,VGRB4jnY7shv3dY3gAfVjH+t9i/e8bQXzipRPnQ131Y=,75.75,Pro
2021-10-05 23:13:00.000000 UTC,H0XAnTGXQfPGqb53irtpkBB0oSK4Td7My+r2SuQez3E=,79.0,Pro
2021-10-02 16:48:00.000000 UTC,EMrcjhZLKNw1a+/JE73Yu7wsbVpa/ZKoNKsnvJyX4JI=,79.0,Pro
2021-09-27 15:20:00.000000 UTC,uW7TFi88leWLhddQ/85Oy+io99bF6kc1zq8Ro/khoHs=,79.0,Pro
2021-09-21 14:50:00.000000 UTC,8QHagR1Ve9K7Qp2fEG48knS+Sc5QKVPgpXnr33DJy/U=,60.02,Pro
2021-09-25 20:10:00.000000 UTC,0Xvwwybtkz3KoYNLoTChZ6kWk9kI63Kt9JOC123dmkU=,79.0,Pro
2021-09-14 04:05:00.000000 UTC,fgKEvCaV9dIPDS1hcU7ymZdUYnnJpeJwJYF0shcx1W0=,77.87,Pro
2021-09-08 20:44:00.000000 UTC,Z4RLLp6LjXiZ2C+Noowi/ZglV2ZaTFUVPup2Ap0mjjc=,62.75,Pro
2021-09-03 00:55:00.000000 UTC,xIQrvWxQzvx9KHgm1+eQPS6OPNRYJXM2BgYKxGBvYFA=,72.42,Pro
2021-09-01 22:41:00.000000 UTC,uUCwPjoNE5JMczRNW2pnO34tq77A8czxnOplvMYXb6g=,76.92,Pro
2021-09-01 04:30:00.000000 UTC,yDLZKD0tlTYHZ6/gmhKmoIbV8CWM8kWuYXG3NJUxgwQ=,78.99,Pro
2021-08-31 17:24:00.000000 UTC,AHm9k6YLXvnN8bEyGLGXZ9apYL5PTiALKB2325K1Y6w=,78.99,Pro
2021-08-31 07:23:00.000000 UTC,wkI1Ce/l3L3QIbYRkzQT350Tr2cD+DkswWli6kk2hd4=,79.0,Pro
2021-08-30 14:27:00.000000 UTC,APElDATthVZVREZ7RnmMPWlBzn1h3mOjo3//SmMe/js=,79.0,Pro
2021-08-25 15:36:00.000000 UTC,aYaFNVoBEJ74eZcBU0Mr1h7zL+rtXXdQxFMomxwlzPQ=,69.31,Pro
2021-07-31 23:47:00.000000 UTC,DWWNfAmSvHmqDMRUkmDpVJqCuGXkgVTgeSIcbEOlROY=,78.84,Pro
2021-07-29 03:19:00.000000 UTC,ikvziIVtOImaogeKqP9AXi3ULc/ITUF66n88iSUBfxc=,74.04,Pro
2021-07-22 00:01:00.000000 UTC,qLKZR37hPJy3875B+4BGEO4hZ+6qbwZtGRsphFqoVPE=,69.41,Pro
2021-07-21 08:12:00.000000 UTC,GmMuBGQo8qBQ8gv3e7OWpAlgrxIfHGhw+4xmI66QOfo=,79.0,Pro
2021-07-16 22:36:00.000000 UTC,buV4W7JXtTKOa/Z3SLMHvaqeSc6Tk4bGyvHJFj4to00=,70.77,Pro
2021-07-15 14:22:00.000000 UTC,g0LSATM4pMx/yM4cXUOChqmZgjDvLnOYNKIU+0XYDjE=,78.99,Pro
2021-07-14 08:50:00.000000 UTC,xCDsGVUOJCeU+HJSmopmGqs7YLHOEw+xbLwFndVco9s=,78.68,Pro
2021-07-14 05:04:00.000000 UTC,WXOYTdqgFfllqMAOsPD+sIXGhuTmywrepRoNEf+D9LE=,22.9,Pro
2021-07-14 02:22:00.000000 UTC,PvLxJMbZdIONWQq7uGotHjBc8bGiVAqlpySnMp6F7lw=,74.74,Pro
2021-07-10 01:55:00.000000 UTC,lvH4qreuTK9L56xznIVq5vRjhT5DFf7/mHuCRM8vJ3g=,79.0,Pro
2021-06-23 17:49:00.000000 UTC,izQcJW6o+hVJLlMTny2D3+SOcya2+VMwlaFgp0uBYaA=,75.3,Pro
2021-06-22 13:32:00.000000 UTC,isoruO7cQ0DMbYC6OOpdv9w47u6Enq0IP6t2dNfGG1g=,78.99,Pro
